Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
Lucifer: Season 1,No,2017-07-23,"8,44,00,000",English,Show
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,"8,36,00,000",Non-English,Show
Breaking Bad: Season 1,No,nan,"8,32,00,000",English,Show
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,"8,32,00,000",English,Movie
Selling Sunset: Season 6,Yes,2023-05-19,"8,28,00,000",English,Show
CoComelon: Season 4,No,2021-10-14,"8,25,00,000",English,Show
Suits (2011): Season 3,Yes,nan,"8,25,00,000",English,Show
Sam & Cat: Season 1,No,nan,"8,24,00,000",English,Show
Gilmore Girls: Season 1,Yes,nan,"8,21,00,000",English,Show
Sonic Prime: Season 1,Yes,2022-12-15,"8,21,00,000",English,Show
Peppa Pig: Season 1,No,nan,"8,18,00,000",English,Show
Manifest: Season 3,No,2021-08-21,"8,17,00,000",English,Show
Roald Dahl's Matilda The Musical,Yes,2022-12-25,"8,10,00,000",English,Movie
Better Call Saul: Season 6,No,2022-04-19,"8,08,00,000",English,Show
Sing (2016),No,nan,"8,05,00,000",English,Movie
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,nan,"8,03,00,000",Japanese,Show
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,"8,00,00,000",English,Movie
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,"7,97,00,000",English,Show
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,"7,82,00,000",English,Show
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,"7,82,00,000",Japanese,Show
Chupa,Yes,2023-04-07,"7,78,00,000",English,Movie
Stranger Things,Yes,2016-07-15,"7,78,00,000",English,Movie
Paw Patrol: The Movie,No,nan,"7,72,00,000",English,Movie
Sing 2,No,nan,"7,66,00,000",English,Movie
The Crown: Season 5,Yes,2022-11-09,"7,63,00,000",English,Show
Next in Fashion: Season 2,Yes,2023-03-03,"7,57,00,000",English,Show
Gilmore Girls: Season 2,Yes,nan,"7,52,00,000",English,Show
Lucifer: Season 5,No,2020-08-21,"7,52,00,000",English,Show
The Boss Baby,No,nan,"7,51,00,000",English,Movie
Treason: Limited Series,Yes,2022-12-26,"7,43,00,000",English,Movie
Trolls,No,nan,"7,34,00,000",English,Movie
Blood Ties: Season 1 // Las Villamizar: Season 1,No,nan,"7,33,00,000",English,Show
Money Heist: Part 1 // La casa de papel: Parte 1,Yes,2017-07-01,"7,31,00,000",English,Movie
Rough Diamonds: Season 1,Yes,2023-04-21,"7,28,00,000",English,Show
Vincenzo: Season 1 // 빈센조: 시즌 1,Yes,2021-02-20,"7,28,00,000",Korean,Show
The Walking Dead: Season 10,No,nan,"7,22,00,000",English,Show
The Witcher: Season 1,Yes,2019-12-20,"7,22,00,000",English,Show
Gabby's Dollhouse: Season 1,Yes,2021-01-05,"7,16,00,000",English,Show
The Walking Dead: Season 3,No,nan,"7,16,00,000",English,Show
Carrossel,No,nan,"7,13,00,000",English,Movie
Gilmore Girls: Season 3,Yes,nan,"7,13,00,000",English,Show
Red Rose: Season 1,Yes,2023-02-15,"7,11,00,000",English,Show
Fauda: Season 4 // פאודה: עונה 4,Yes,2023-01-20,"7,10,00,000",Non-English,Show
New Amsterdam (2018): Season 3,No,nan,"7,06,00,000",English,Show
Gilmore Girls: Season 5,Yes,nan,"6,99,00,000",English,Show
Gilmore Girls: Season 4,Yes,nan,"6,98,00,000",English,Show
The Blacklist: Season 2,No,nan,"6,97,00,000",English,Show
"Divorce Attorney Shin: Limited Series // 신성한, 이혼: 리미티드 시리즈",Yes,2023-03-04,"6,95,00,000",Korean,Movie
Stranger Things 2,Yes,2017-10-27,"6,92,00,000",English,Movie
Hometown Cha-Cha-Cha: Season 1 // 갯마을 차차차: 시즌 1,Yes,2021-08-28,"6,90,00,000",Korean,Show
Love Is Blind: Season 3,Yes,2022-10-19,"6,89,00,000",English,Show
Kill Boksoon // 길복순,Yes,2023-03-31,"6,85,00,000",Korean,Movie
The Thundermans: Season 1,No,nan,"6,85,00,000",English,Show
The Flash (2014): Season 1,No,nan,"6,82,00,000",English,Show
Red Notice,Yes,2021-11-12,"6,81,00,000",English,Movie
Henry Danger: Season 1,No,nan,"6,78,00,000",English,Show
The Queen of Flow: Season 2 // La reina del flow: Temporada 2,No,2021-11-17,"6,78,00,000",English,Show
The Walking Dead: Season 2,No,nan,"6,77,00,000",English,Show
Viking Wolf // Vikingulven,Yes,2023-02-03,"6,75,00,000",English,Movie
Designated Survivor: Season 2,Yes,2017-09-28,"6,72,00,000",English,Show
Bebefinn: Season 1,Yes,nan,"6,71,00,000",English,Show
Hotel Transylvania 2,No,nan,"6,70,00,000",English,Movie
Stranger Things 3,Yes,2019-07-04,"6,70,00,000",English,Movie
Masha and the Bear: Season 1,No,nan,"6,67,00,000",English,Show
Outlander: Season 1,No,2016-03-31,"6,65,00,000",English,Show
Grizzy and the Lemmings: Season 2,No,nan,"6,60,00,000",English,Show
Single’s Inferno: Season 2 // 솔로지옥: 시즌 2,Yes,2022-12-13,"6,59,00,000",Korean,Show
The Witcher: Blood Origin: Limited Series,Yes,2022-12-25,"6,53,00,000",English,Movie
The Nurse: Limited Series // Sygeplejersken: Miniserie,Yes,2023-04-27,"6,52,00,000",English,Movie
The Watcher: Season 1,Yes,2022-10-13,"6,44,00,000",English,Show
Jumanji: The Next Level,No,nan,"6,43,00,000",English,Movie
Suits (2011): Season 4,Yes,nan,"6,42,00,000",English,Show
Gilmore Girls: Season 6,Yes,nan,"6,39,00,000",English,Show
The Tailor: Season 1 // Terzi: 1. Sezon,Yes,2023-05-02,"6,39,00,000",English,Show
All American: Season 5,No,nan,"6,37,00,000",English,Show
Peppa Pig: Season 2,No,nan,"6,37,00,000",English,Show
DAHMER: Monster: The Jeffrey Dahmer Story,Yes,2022-09-21,"6,35,00,000",English,Movie
The Blacklist: Season 3,No,nan,"6,35,00,000",English,Show
Narvik,No,2023-01-23,"6,31,00,000",English,Movie
Home (2015),No,nan,"6,28,00,000",English,Movie
The Sea Beast,Yes,2022-07-08,"6,27,00,000",English,Movie
The Walking Dead: Season 4,No,nan,"6,23,00,000",English,Show
Harry & Meghan: Limited Series,Yes,2022-12-08,"6,20,00,000",English,Movie
